순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
3006,P2000220140501000079405,Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.,P2000120140320000078963,전략목표,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.
3007,P2000320140501000079422,1. 수요자중심으로 기본계획을 변경하고 사업추진 제도를 정비한다.,P2000220140501000079405,성과목표,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.>>1. 수요자중심으로 기본계획을 변경하고 사업추진 제도를 정비한다.
3008,P2000320140501000079432,2. 내실있는 기반구축으로 새만금 투자유치를 촉진한다.,P2000220140501000079405,성과목표,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.>>2. 내실있는 기반구축으로 새만금 투자유치를 촉진한다.
3009,P2000420140501000079433,① 새만금 민자유치 활성화 전략수립,P2000320140501000079432,관리과제,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.>>2. 내실있는 기반구축으로 새만금 투자유치를 촉진한다.>>① 새만금 민자유치 활성화 전략수립
3010,P2000420140501000079434,② 투자유치 인센티브 제도 정비,P2000320140501000079432,관리과제,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.>>2. 내실있는 기반구축으로 새만금 투자유치를 촉진한다.>>② 투자유치 인센티브 제도 정비
3011,P2000420140501000079435,③ 새만금 투자유치 홍보 네트워크 구축,P2000320140501000079432,관리과제,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.>>2. 내실있는 기반구축으로 새만금 투자유치를 촉진한다.>>③ 새만금 투자유치 홍보 네트워크 구축
3012,P2000320140501000079437,3 새만금 한중 경협단지를 차질없이 조성한다.,P2000220140501000079405,성과목표,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.>>3 새만금 한중 경협단지를 차질없이 조성한다.
3013,P2000420140501000079439,② 한중 경협단지 조성을 위한 정부간 협력체계 구축,P2000320140501000079437,관리과제,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅰ.투자유치 활성화로 글로벌 경제중심 새만금을 건설한다.>>3 새만금 한중 경협단지를 차질없이 조성한다.>>② 한중 경협단지 조성을 위한 정부간 협력체계 구축
3014,P2000220140501000079411,Ⅱ. 새만금사업의 본격추진에 대비하여 기반조성을 차질없이 수행한다.,P2000120140320000078963,전략목표,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅱ. 새만금사업의 본격추진에 대비하여 기반조성을 차질없이 수행한다.
3015,P2000320140501000079474,1. 기반시설을 조기 구축하여 사업추진 여건을 개선한다.,P2000220140501000079411,성과목표,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅱ. 새만금사업의 본격추진에 대비하여 기반조성을 차질없이 수행한다.>>1. 기반시설을 조기 구축하여 사업추진 여건을 개선한다.
3016,P2000320140501000079441,"2. 새만금 용지개발을 차질없이 수행하고, 사업 추진체계 개선과 재난안전관리체계를 구축한다.",P2000220140501000079411,성과목표,2014-10-06,새만금개발청,1730000,">>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅱ. 새만금사업의 본격추진에 대비하여 기반조성을 차질없이 수행한다.>>2. 새만금 용지개발을 차질없이 수행하고, 사업 추진체계 개선과 재난안전관리체계를 구축한다."
3017,P2000420140501000079465,② 관광용지 개발 기반마련,P2000320140501000079441,관리과제,2014-10-06,새만금개발청,1730000,">>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅱ. 새만금사업의 본격추진에 대비하여 기반조성을 차질없이 수행한다.>>2. 새만금 용지개발을 차질없이 수행하고, 사업 추진체계 개선과 재난안전관리체계를 구축한다.>>② 관광용지 개발 기반마련"
3018,P2000320140501000079431,3. 새만금의 가용자원을 활용한 관광명소화사업을 추진하여 사람이 모이는 새만금을 조성한다.,P2000220140501000079411,성과목표,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅱ. 새만금사업의 본격추진에 대비하여 기반조성을 차질없이 수행한다.>>3. 새만금의 가용자원을 활용한 관광명소화사업을 추진하여 사람이 모이는 새만금을 조성한다.
3019,P2000420140501000079452,① 자연생태 체험공간 활용,P2000320140501000079431,관리과제,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.>>Ⅱ. 새만금사업의 본격추진에 대비하여 기반조성을 차질없이 수행한다.>>3. 새만금의 가용자원을 활용한 관광명소화사업을 추진하여 사람이 모이는 새만금을 조성한다.>>① 자연생태 체험공간 활용
